year,Cityid,地区,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口,城镇常住人口万人,年末单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,在岗职工平均人数万人,在岗职工工资总额万元,职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,产品销售收入万元,利税总额万元,本年应交增值税万元,利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,流动资产合计万元,固定资产合计万元,主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售贸易业商品销售总额万元,限额以上批发零售贸易企业数个,当年新签项目个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通本专科在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业技术学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,RD人员人,RD内部经费支出万元,专利申请数件,专利授权数件,发明专利授权数件,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,博物馆数个,体育场馆数个,卫生机构数个,医院卫生院数个,医院卫生院床位数张,医生数人,客运总量万人,铁路旅客运量万人,公路客运量万人,水运客运量万人,民用航空客运量人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,水运货运量万吨,民用航空货邮运量吨,年末邮政局数处,邮政业务总量万元,电信业务总量万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇生活消费用电万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,可吸入细颗粒物年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,城镇基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张,Population_density,Popjuniorcollege,Popcollege,Human_capital_index,GDP_10000yuan,PM25,ResidentsPop,RegisteredPop,Population_mobility_rate,Housing_price
2017,120000,天津,185491900,1687976.29,75940383.86,107863539.85,.91,40.94,58.15,119238,1050,,,1047,386,122286,197896,-7.2,,,269.478,3364700,260025,.623,117.037,151.818,.23,43.43,56.34,.623,6.599,78.23999999999999,4.079,28.12,14.536,5.346,15.318,4.928,19.165,8.18,12.715,11.944,4.059,6.474,18.024,11.141,2.533,17.455,,,,,,,,,231,23167447,96965,11917,,,,130100,3.6,,,,,,,,,,4286,3066,254,966,,,,,,,,4283379,10613738,,,103991498,64304888,2734929,,22333936,15597031,57296691,302583756,4791,951,,1060784,,,23101109,,32808795,1159606,4352701,301030457,297461601,95580478,57,525,857,79,31060,43373,43023,7387,,514669,43,65,,115798,,,,165638,4587227,86996,41675,5844,,,16620,,62,,,426,60158,41127,,,12538,,18630000,,,34720,8344,73800,,1061300,3006800,,1580,3390000,8055945,5179830,766362,,,18107,,,42323,,,,,44480,73249,,94.40000000000001,,98.87,,62,,6550142,5541431,3113000,,,,,,514669,514669,490.1609523809524,185491900,62,14.1,10.4999,.342869932094591,23973.33333333333
2018,120000,天津,188096400,1730486.88,76103803.44,110262109.68,.92,40.46,58.62,120711,1082,,,1066,397,103906,65096,3.59,,,259.987,2058063,258100,.5,101.172,158.315,.19,38.91,60.89,.5,6.001,68.956,4.035,26.629,13.234,6.424,19.2,5.555,17.051,10.391,13.216,10.8,3.326,4.672,18.433,10.822,2.264,18.445,,,,,,,,,243,25273271,103931,11760,,,,175800,3.6,,,,,,,,,,4292,3071,254,967,,,,,,,,4383260,12006814,,,107285190,,3091792,,24244892,18634979,55330440,281851318,4960,1088,,485104,48698491,32071582,21061890,,31045305,1057097,4466652,325394250,299105294,107461653,56,536,879,74,31362,44075,44785,7585,,523349,44,67,,107504,,,,160683,4923997,99038,54680,5626,,,18670,,65,,,420,60337,43020,,,12259,,19150000,,,34711,8261,80800,,1047098,1534626,,1680,4910000,8614388,5542514,816954,,,17729,,,32937,,,,,34837,62719,,98.37,,98.90000000000001,,52,,6831600,5752609,3234400,,,,,,523349,523349,483.6866913123845,188096400,52,13.83,10.8163,.278625777761342,22276.08333333333
2019,120000,天津,141040000,1847624,49688392,89503984,1.31,35.23,63.46,90371,1108,,,1087,406,106604,75752,2.78,,,269.354,1997733,260900,.252,102.4,166.702,.09,38.02,61.89,.252,5.844,67.328,4.172,25.055,14.934,6.573,19.974,6.331,19.802,10.798,15.294,11.084,3.681,6.513,20.241,11.691,2.148,17.64,,,,,,,,,250,27905678,111602,11967,,,,80900,4.8,,,,,,,,,,4614,3454,223,937,,,,,,,,3414157,12120302,,,105655424,,3125954,,27278199,22000095,42182097,307000997,6444,711,,473161,6285159,4379373,24102520,,35087128,1099548,4669789,348740384,306998030,126396371,56,527,877,74,32651,44929,46497,7162,,,46,70,,38566,,,,143888,4629716,96045,57799,5025,,,20990,,68,,,441,60990,46421,,,12206,,20690000,,,36710,8955,83300,,1159100,1419332,,1705,5240000,8784332,5571077,812239,,,,,,,,,,,,,,,,,,,,6955700,5950400,3355100,,,,,,547750,547750,494.3592057761733,141040000,,13.85,11.0818,.249796964392066,21895.75
2020,120000,天津,140840000,2098516,48040524,90686876,1.49,34.11,64.39,101614,,,,,,,,,1387,1174,255.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,28010941,118918,,,,,132900,1.5,,,,,,,,,,5120,4020,221,879,,,,,,,,,9711463,,,107529702,,,,,,35829079,337059474,7416,,,,42655375,30751180,19231103,,31513505,1181712,4429121,376904382,330376393,,56,530,885,67,34239,46006,47480,5520,,572152,49,73,,78390,,,,,,,75434,5262,,,21750,,71,,,423,61524,49236,,,7926,,,,,32261,,,,,,,,,,,,16411,1325,,,,9756,,,,,10053,29167,,100,,,,48,,7308300,6184300,3491200,,,,,948,572152,572152,506.329203539823,140840000,48,13.866009,11.306769,.22634582876859,20326.16666666667
2021,120000,天津,156950000,2244385,58542350,96147570,1.43,37.3,61.26,113732,1152,833,,,,,,,,,256.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,30595125,128171,,,,,400000,6.6,,,,,,,,,,5662,4529,224,909,,,,,,,,,15032660,,,119055692,,,,,,37697821,443020471,8714,,,,46918158,38756079,21410606,,31525478,1039691,4792461,400433925,347009481,,56,535,895,84,32534,47524,49277,7106,,583353,53,75,,101589,,,,,,,97910,7376,,,22820,,69,,,432,62238,51777,,,8916,,,,,34527,,,,1636300,1533000,,1745,5850000,,,,15307,1325,,,,8138,,,,,8189,24821,,100,,,96.8,39,,7651400,6376400,3723000,419,405,61953,59597,966,583353,583353,506.3828125,156950000,39,13.73,11.5156,.192295668484491,19258.28571428571
2022,120000,天津,163110000,2723937,60383322,99986430,1.67,37.02,61.3,119235,1161,844,,,,,,,,,243.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,31106122,,,,,,170000,.96,,,,,,,,,,5812,4691,220,901,,,,,,,,,16856186,,,131855495,,,,,,35719920,454019427,9691,,,,46449307,38035852,18466866,,27298298,621605,4789376,416503164,393426689,,82,542,884,58,40872,48696,49450,5286,,594505,57,77,,82867,,,,,,,71545,11745,,,23910,,72,,,435,62185,52550,,,6959,,,,,30382,,,,1629461,1639800,,1810,,,,,15230,1358,,,,6227,,,,,,21223,,100,,,98.45,37,,8000600,6425962,3922000,449,435,61624,59525,974,594505,594505,512.0628768303187,163110000,37,13.63,11.613,.173684663738913,
2010,130100,石家庄,34010186,3696907.218,16539153.452,13777526.349,10.87,48.63,40.51,33915,989.16,,,983.3,,,,10.69,,,84.15000000000001,413548,50929,.41,31.11,52.63,.49,36.97,62.54,.41,.67,23.28,2.66,4.5,5.67,.91,6.09,1.28,4.44,.41,.85,2.23,1.69,.32,12.34,3.91,1.42,11.07,,,,,,,,,81,2539667,31458.78,15848,,,624,,12.24,507.9,21.33,1.399,12002000,2669600,747700,1138900,34258,1037100,2576,2449,46,81,56553423,52385622,2095343,2072458,60,,,1391046,4129785,,,10734073,13618866,,29579966,5379994,4122540,14098923,12948772,307,32,,24415,,,1636303,,3051647,45021,700086,32720979,61158028,29203989,46,437,1750,,21367,36126,41632,,372921,,52.47,67.19,473222,262422,73872,377,,,,,,,26,33,4788,48,,,2414,396,36544,21669,12401,1100,11029,,2723596,19689,1400,18286,,25710,227,61492,639697,191,694,1312522,,,,,,19254,19114,371446,137934,3823559,32631,,,,,95,100,93,,,,,,,,,,,,624.15,,372921,377.0077641635327,34010186,,,,,6197.333333333333
2011,130100,石家庄,40826833,4148006.233,20319514.784,16359311.983,10.16,49.77,40.07,39919,997.3,,,993.2,,,,9,,,84.8,430246,50517,.41,30.5,53.89,.48,35.97,63.55,.41,.73,22.26,2.51,5,5.89,.9399999999999999,5.73,1.28,4.61,.38,.9399999999999999,2.45,1.73,.31,12.89,4.24,1.3,11.2,,,,,,,,,81,2852698,35131.75,15848,,,629,,12.01,531.7,21.51,1.263,12219600,2748700,762300,1190100,34619,1065400,2379,2264,40,75,72605645,67665768,2391805,2548072,,,,1767684,5028692,,,13149233,17252035,941296,30269778,7891413,5487036,16629864,15749169,318,19,,36726,,,2212284,,4035381,63205,875153,36597860,67153408,32435792,47,427,1642,203,22211,36545,41234,11251,388241,,49.68,70.06999999999999,448857,271169,80084,389,272,,,,,,27,27,4997,50,,,2427,395,37779,21961,13938,1100,12436,,4020000,24273,1400,22870,,33229,228,71333,722164,191,808,1668017,,,,,,25591,,,196763,,,632407,9798502,96123,,,100,,,95.45999999999999,,,1623334,2407100,898465,,,,,629.28,,388241,389.2920886393262,40826833,,,,,7206.833333333333
2012,130100,石家庄,45002098,4522710.849,22406544.594,18072842.557,10.05,49.79,40.16,43552,1005.3,,,1001.3,,,,9.800000000000001,,,90.7,456855,53394,.26,33.96,56.46,.29,37.45,62.26,.26,.84,21.23,2.96,8.93,5.84,1.12,5.71,1.62,4.66,.9,1.02,2.97,1.76,.29,12.99,4.69,1.55,11.34,,,,,,,,,87,3350362,38425.99,15848,,,634,,10.38,532.1,21.52,1.15,12554000,2897000,773000,1207900,34854,1064100,2388,2283,38,67,76431457,71056655,2990682,2384120,,,,1706418,5627213,,,15534609,20220517,937806,36733348,8332125,6665959,19157615,18647725,342,22,,84811,,,2722764,,4640932,75058,1092790,39950667,76407468,37354986,48,413,1546,181,23384,35584,41627,10597,395542,,47.83,71.42,402379,215138,86007,393,214,,,,,,27,22,5766,57,,,6451,395,41603,23122,15378,1100,13793,,4850000,28755,1400,27351,,39661,187,140404,837647,181,895,1860000,,,,,,31058,,,179942,,,704746,10118477,98364,,,100,,49.47,95.86,,,1744649,2692992,899000,,,,,634.36,,395542,393.4566795981299,45002098,,,,,7421.833333333333
2013,130100,石家庄,48636583,4887976.592,23593606.413,20154999.995,10.05,48.51,41.44,48491,1003.2,,,1004.2,,,,10.9,,,92.90000000000001,488101,53481,.2,33.94,58.74,.22,36.54,63.24,.2,.55,22.52,2.39,8.48,6.54,1.98,5.58,1.5,4.41,1.32,2.63,3.2,1.84,.21,12.43,5.01,1.51,10.58,,,,,,,,,89,3890359,43653.04,15848,,,633,,8.08,525.61,21.63,1.094,12906800,2359700,777200,1192400,35312,1070600,2277,2188,29,60,76246940,71149160,2742446,2355334,,,,1753155,5938190,,,16747210,21306777,844484,41862462,9201619,6720840,19723521,24480976,400,42,,98050,,,3151233,,5229442,80065,1161551,45120155,86077828,41575970,49,421,1418,173,22555,35296,41568,10208,399055,,45.96,68.52,347895,176572,97451,347,176,,,,,,28,20,5557,55,,,6475,394,47819,27059,13573,1100,12206,,2670000,35893,1400,34490,,30000,205,187727,869830,162,979,1920000,,,,,,27753,,,181532,,,706861,525134,105012,,,73.54000000000001,,98.61,95.17,,,1866124,1359461,902000,,,,,632.98,,399055,397.7820972886762,48636583,,,10.032,,8185.833333333333
2014,130100,石家庄,51702653,4875560.178,24176160.543,22650932.279,9.43,46.76,43.81,48970,1024.9,,,1020.1,,,,11.3,,,100.563,615190,53409,.196,36.168,64.199,.2,35.97,63.83,.196,.483,23.944,2.354,9.387,8.013,1.914,5.872,1.319,5.065,1.628,3.204,3.693,1.928,.317,13.116,5.582,1.498,11.049,,,,,,,,,96,4617708,48272.09,13109,,,782,,7.9,503,20.7,1.068,13161000,,796200,,35003,1101362,2594,2497,40,57,90224126,84446162,3480654,2297310,,,,2135899,7508303,,,18805036,24787096,946068,48839608,10180594,6788859,24234663,24824430,446,37,,102189,,,3434745,,5664878,72908,1200899,50989204,91246125,43876724,48,382,1295,172,23342,33704,40817,10087,393559,,44.22,68.09999999999999,295176,155443,97272,384,152,,,,,,,20,5932,58,,,,386,45772,25523,8032,1100,6641,,2910000,25938,1400,24536,,20000,259,218261,856924,151,1038,2140000,,,,,,24024,,,156030,,,663236,7497334,104277,,,71.98,,95.09999999999999,95.84999999999999,,,1995583,2863102,919600,,,,,781.85,,393559,383.9974631671382,51702653,,10.6162,10.249,.0358278856473803,8807
2015,130100,石家庄,54405988,4945504.309,24526219.39,24939704.899,9.09,45.08,45.84,51043,1028.84,,,1026.9,,,,11.78,,,100.318,,53409,.198,35.122,64.999,.2,35.01,64.79000000000001,.198,.331,23.905,2.355,8.529999999999999,7.574,2.128,5.92,1.232,5.469,1.655,3.285,3.905,2.068,.341,13.088,5.633,1.605,11.097,,,,,,,,,96,5231077,54441,13056,,,788,,7.5,504.79,20.6,.77,,,784100,,33855,1094495,2752,2655,39,58,94104745,88455161,3302041,2347543,,,,2315089,8159119,,,22400172,27271529,1506606,56898536,9862702,6542655,26930343,19917300,432,34,,114013,,,3750529,,6823857,90482,1361602,51241043,98001484,48689313,49,406,1390,138,24517,37084,43396,8158,419787,,47.8,77.04000000000001,,143071,,408,139,,,,,,,,3543,34,,,,393,46744,29579,,,5976,,3080000,,,36954,,25341,294,271942,835497,142,1071,2330000,,,,,,21964,,,113652,,,501117,7486919,87128,,,95.41,,98,95.42,,,2100300,1416300,916200,,,,,788.14,,419787,408.0197115197699,54405988,,10.7016,10.2884,.0401617355468296,8942.416666666666
2016,130100,石家庄,59277293,4807388.462,26941529.669,27528374.869,8.109999999999999,45.45,46.44,55177,1038,,,1033,,,,10.05,,,99.542,,,.197,33.496,65.849,.2,33.65,66.15000000000001,.197,.424,22.734,2.327,8.01,7.377,2.192,5.977,1.152,5.489,1.902,3.66,3.904,2.101,.352,13.155,5.91,1.559,11.119,,,,,,,,,91,5554609,61189,13056,,,,276800,6.8,495.82,20.82,.554,13209600,,774700,,31211,1122771,2704,2616,37,51,96447877,90799432,3318785,2329660,,,,2290603,8209311,,,23789786,27020478,1427123,56784633,10157650,6637791,29752321,18827060,548,22,,122102,,,4107238,,7461188,122300,1591856,51758900,110779000,53482000,49,410,1401,141,25052,38065,44499,8399,441812,,49,81,,158745,,,,,,,,,,,3645,,,,,425,49573,31781,,,4582,,,,,40639,,,292,286392,867303,144,1170,2810000,,,,,,13022,,,85815,,,515066,7402482,52705,,,99.54000000000001,,94.95999999999999,96.09,,,2293449,1456265,920546,,,,,,,441812,425.6377649325626,59277293,,10.7846,10.38,.0389788053949904,10792.16666666667
2017,130100,石家庄,61770284,,,,,,,57024,973,,,974,282,156437,159995,-.37,,,91.61199999999999,1930987,51008,.187,27.987,63.438,.2,30.55,69.25,.187,,19.385,2.29,6.311,6.456,2.624,4.897,1.074,5.345,1.734,3.169,3.573,2.216,.246,13.226,6.239,1.423,11.217,,,,,,,,,87,5908489,67880,14060,,,,142240,,511.21,14.35,.148,5807200,,653800,,19567,876000,2638,2550,41,47,,,,,,,,1801515,9089969,,,30867054,24456340,1420579,,12436330,8908919,29833374,23715463,463,26,,139458,,,4608886,,8067284,100610,1676709,89249839,117029683,56416176,49,411,1418,143,26491,38289,46223,8716,,460695,51,84,,177358,,,,51536,1282442,12966,7501,1351,,,3840,,9,42,,235,46036,34487,,,3824,,9580000,,,45802,,41013,,509215,869762,,1265,3180000,4681026,2860549,270688,,,8430,,,36633,,,,,27056,61180,,100,,92,99.44,87,,2298471,1446094,921679,,,,,,460695,460695,473.4789311408016,61770284,87,10.8799,,,17749.91666666667
2018,130100,石家庄,60826180,4203089.038,22852395.826,33764612.518,6.91,37.57,55.51,55723,982,,,977,286,120162,33091,8.869999999999999,,,95.965,940079,51303,.171,27.516,68.279,.18,28.67,71.15000000000001,.171,,18.761,2.288,6.467,7.203,3.69,5.272,1.454,5.927,2.218,3.497,3.929,2.354,.21,13.154,6.324,1.64,11.406,,,,,,,,,91,6870827,75114,15848,,,,160795,7.42,487.34,12.492,.116,,,633133,,18145,842741,2189,2118,27,44,,,,,,,,1426055,2541849,,,30967519,16207483,1427861,,,,32743989,49134316,511,46,,149993,3439612,5715706,5196778,,9916127,118720,1971155,100950559,132251558,64732492,49,414,1434,144,,39742,48346,8882,,,54,89,,197412,,,,,,19291,11450,1487,,,3840,,9,42,,256,48927,37438,,,3609,,11330000,,,52911,,46146,,693936,873512,,1376,3740000,4975000,2955000,303853,,,6660,,,28399,,,,,27420,50438,,100,,84,99.66,76,,2501069,1555128,955252,,,,,,496882,496882,505.989816700611,60826180,76,10.9516,,,16407.41666666667
2019,130100,石家庄,58100000,4496940,18318930,35289940,7.74,31.53,60.74,52859,1052,,,1049,311,106688,32109,7.09,,,106.938,2118137,54539,.105,28.028,78.80500000000001,.1,26.21,73.69,.105,.005,18.409,2.361,7.253,5.501,4.627,6.168,1.553,8.153,3.438,5.754,3.468,1.612,.396,15.414,7.232,1.567,13.92,,,,,,,,,99,7852934,78937,15848,,,,112600,6.7,,,,,,,,,,2097,2023,35,39,,,,,,,,1286063,4184705,,,42467484,16026466,1541263,,8876439,6720162,24651898,48403638,939,62,,163351,5236240,6551323,5691283,,10513884,123373,2144377,113418631,149567778,76300235,44,422,1445,138,28814,41025,50702,9561,,533070,55,94,,218582,,,,42399,1586985,23413,13847,1326,,,4210,,11,42,,275,51288,39508,,,3217,,11920000,,,51105,,53230,,894943,810957,,1403,3930000,5469998,3170416,326213,,,6953,,,20326,,,,,26696,33845,,100,,,99.84,67,,2681067,1691950,957380,,,,,,533070,533070,506.7205323193916,58100000,67,11.0312,10.52,.0485931558935362,15653.41666666667
2020,130100,石家庄,59350000,4991335,17448900,36909765,8.41,29.4,62.19,52961,,,,,,,,,1124,789,105.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,8234817,84870,,,,,176100,3.85,,,,,,,,,,2183,2115,35,33,,,,,,,,,4339634,,,38865843,,,,,,23826607,50327460,1087,,,,5555431,7856040,6321928,,11422265,152812,2185270,130752743,164882790,,44,431,1468,140,31212,42549,51692,10053,,583472,57,97,,240964,,,,,,,20498,1702,,,4180,,13,,,328,55670,43597,,,1150,,,,,51258,,,,,,,,,,,,20639,854,,,,10170,,,,,24707,32276,,100,,,99.3,58,,2804498,1836419,1308980,,,,,,583472,583472,554.8949120304327,59350000,58,11.2415,,,15202.58333333333
2021,130100,石家庄,64900000,5049220,21073030,38777750,7.78,32.47,59.75,57830,1051,548,,,,,,,,,107.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,8963139,89065,,,,,440000,6.58,,,,,,,,,,2370,2292,35,43,,,,,,,,,4509782,,,41871193,,,,,,25012429,56720134,1376,,,,6241244,8570525,6813580,,11527442,153639,2269961,145786780,178101845,,43,437,1474,135,32680,44991,54182,11423,,623891,61,97,,264389,,,,,,,26780,2405,,,4310,,25,,,325,57293,44727,,,923,,,,,52602,,,,1180641,944407,,1428,4630000,,,,20772,854,,,,10340,,,,,11231,21442,,100,,,99.7,46,,2897396,1971822,1416106,289,274,42566,41632,,623891,623891,593.616555661275,64900000,46,11.2047,10.51,.0660989533777356,14726.28571428571
2022,130100,石家庄,71010000,5581386,23340987,42087627,7.86,32.87,59.27,63319,1054,558,,,,,,,,,103.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,9897290,,,,,,260000,6.35,,,,,,,,,,2627,2548,36,43,,,,,,,,,3265099,,,47016551,,,,,,25483862,79210959,1774,,,,4313784,8037149,6921599,,12504267,214508,2489270,161374214,205992208,,44,443,1465,135,34999,45595,53458,12358,,653918,65,96,,264090,,,,,,,25339,3547,,,4600,,30,,,325,59891,45319,,,809,,,,,51420,,,,1116619,1029130,,1450,,,,,21146,863,,,,8370,,,,,,20822,,100,,,99.76000000000001,46,,3017502,1972734,1571104,286,269,38936,37953,,653918,653918,620.415559772296,71010000,46,11.2235,,,
2011,130200,唐山,54424541,4865553.965,32698264.233,16860722.802,8.94,60.08,30.98,71565,737.1,,,736,,,,3.2,,,87.3,363752,57885,2.84,45.6,38.86,3.25,52.23,44.51,2.84,10.89,25.99,2.88,5.84,3.89,.58,4.84,.62,3.11,.78,.78,.51,1.48,.13,9.109999999999999,3.63,.52,8.880000000000001,,,,,,,,,79,3315279,42029.4,13472,,,547,,11.7,317.8,28.36,3.073,13606000,2317100,700200,1816200,500779,338400,1288,1173,36,79,95736746,81785189,7121627,6829930,,,,2715168,5793317,,,33508648,36067751,371385,25450636,5062717,3714484,13347990,20691379,399,24,,108123,,,2555624,,4416812,61956,783039,30884877,47483236,28412423,9,344,1233,62,5733,29903,28821,4425,105870,,33.46,46.61,217959,90868,55723,144,123,,,,,,13,7,1988,27,,,1767,335,32105,16106,13645,691,12939,,150000,37081,2749,33005,1327,1005,164,33202,551272,173,844,1103454,,,,,,17308,,,331863,,,701127,18950986,506490,,,91.33,,,94.61,,,1718185,2157900,768008,,,,,547.11,,105870,143.6304436304436,54424541,,,,,7715
2012,130200,唐山,58616363,5287195.943,34736056.714,18593110.344,9.02,59.26,31.72,76643,741.8,,,739.4,,,,6.7,,,95.59999999999999,441626,59545,2.66,51.49,41.48,2.78,53.84,43.38,2.66,10.89,31.3,2.77,6.53,3.93,.82,4.86,.72,3.58,.98,.78,.55,2.02,.14,9.18,3.93,.53,9.460000000000001,,,,,,,,,95,4302278,45230,13472,,,551,,10.4,311.4,28.08,2.757,13963000,2343000,714000,1843900,521448,338000,1311,1194,38,79,99628424,86486706,5739530,7402188,,,,3163774,5891578,,,33856446,43966258,507183,30171685,5165172,3742362,15350161,22388678,424,21,,123024,,,3010936,,4903141,105895,975527,35272093,54374618,33050711,9,334,1159,61,5926,29376,28648,4464,125531,,33.41,48.19,260754,105485,65571,169,142,,,,,,13,7,2180,29,,,8904,157,28198,17858,14500,713,13770,,170000,41649,2785,37625,1239,1677,164,60608,597244,164,848,1230000,,,,,,19396,,,313051,,,665548,,409921,,,91.33,,,94.81,,,1858100,2252000,793763,,,,,550.6,,125531,169.2248584524131,58616363,,,,,7047.583333333333
2013,130200,唐山,61212139,5527456.152,35931525.593,19753157.255,9.029999999999999,58.7,32.27,82831,738.7,,,740.3,,,,7.2,,,96.7,412232,61000,2.54,49.81,44.3,2.63,51.54,45.83,2.54,12.62,25.97,2.59,8.630000000000001,4.29,.78,5.72,.77,3.2,1.33,2.05,.83,1.74,.14,9.210000000000001,4.09,.54,9.609999999999999,,,,,,,,,85,4120332,48270.06,13742,,,538,,4.43,308.29,29.56,2.659,14243600,1548100,730900,1827700,537610,348200,1347,1228,40,79,104304741,89703702,5387431,9213608,,,,2857782,5649856,,,35178667,,528089,35758674,5691492,4364545,17246086,25240036,417,16,,135178,,,3184152,,4971792,90477,972513,39637353,61236216,36527884,8,330,1122,52,5474,30399,29785,4517,111758,,31.96,47.38,319104,92344,25454,432,125,,,,,,13,23,2190,30,,,8755,345,38278,18134,14035,823,13194,,180000,47879,3745,43043,1091,,158,71095,631975,152,805,1370000,,,,,,12589,,,282806,,,714740,16358017,478574,,,88.34,,73.31999999999999,95.5,,,1979154,1518002,798300,,,,,537.5700000000001,,111758,151.2901042371734,61212139,,7.708,7.474,.0313085362590313,7535.083333333333
